Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",123.000000,-52.750000,0.000000,top
"C2","100n","C_0402_1005Metric",131.587500,-56.250000,-90.000000,top
"C3","100n","C_0402_1005Metric",128.400000,-64.600000,180.000000,top
"C4","100n","C_0402_1005Metric",119.587500,-55.250000,90.000000,top
"C5","10u","C_0603_1608Metric",123.000000,-51.000000,0.000000,top
"C6","10n","C_0402_1005Metric",119.750000,-59.770000,90.000000,top
"C7","1u","C_0402_1005Metric",118.800000,-63.250000,180.000000,top
"C8","1u","C_0402_1005Metric",118.800000,-64.500000,180.000000,top
"C9","100n","C_0402_1005Metric",123.000000,-64.750000,0.000000,top
"C10","10p","C_0402_1005Metric",117.750000,-56.490000,90.000000,top
"C11","10p","C_0402_1005Metric",117.750000,-58.720000,90.000000,top
"C12","22u","C_0805_2012Metric",140.600000,-67.050000,90.000000,top
"C13","22u","C_0805_2012Metric",135.800000,-61.600000,0.000000,top
"D1","RED","LED_0603_1608Metric",143.600000,-66.800000,-90.000000,top
"FB1","120R","L_0603_1608Metric",120.800000,-63.600000,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",145.600000,-57.400000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",139.280000,-45.400000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",127.000000,-45.400000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",119.860000,-70.800000,90.000000,top
"R1","10k","R_0402_1005Metric",114.000000,-53.600000,90.000000,top
"R2","1k5","R_0402_1005Metric",135.000000,-56.800000,-90.000000,top
"R3","1k5","R_0402_1005Metric",143.600000,-64.000000,90.000000,top
"R4","1k5","R_0402_1005Metric",124.000000,-67.400000,180.000000,top
"R5","1k5","R_0402_1005Metric",126.400000,-67.400000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",110.200000,-53.400000,-90.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",125.587500,-58.750000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",135.800000,-67.200000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",115.250000,-57.720000,-90.000000,top
